Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Rowing,Lightweight Men's Double Sculls Heats,,,2024-07-28T10:00:00.000+00:00,
Shooting,10m Air Pistol Women's Final,,,2024-07-28T10:00:00.000+00:00,medal match
Skateboarding,Women's Street Prelims,,,2024-07-28T10:00:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#2),Serbia,Japan,2024-07-28T10:05:00.000+00:00,
Rowing,Women's Four Heats,,,2024-07-28T10:30:00.000+00:00,
Hockey,Women's Pool B (#W05),Australia,South Africa,2024-07-28T10:45:00.000+00:00,
Rowing,Men's Four Heats,,,2024-07-28T10:50:00.000+00:00,
Volleyball,Women's Preliminary Round - Pool B (#2),Poland,Japan,2024-07-28T11:00:00.000+00:00,
Boxing,Women's 66kg - Preliminaries - Round of 32,,,2024-07-28T11:08:00.000+00:00,
Hockey,Women's Pool B (#W06),Great Britain,Spain,2024-07-28T11:15:00.000+00:00,
Basketball,Women's Group Phase - Group A (#6),Spain,China,2024-07-28T11:30:00.000+00:00,
Handball,Women's Preliminary Round Group A (#9),Sweden,Germany,2024-07-28T12:00:00.000+00:00,
Cycling Mountain Bike,Women's Cross-country,,,2024-07-28T12:10:00.000+00:00,medal match
Artistic Gymnastics,Women's Qualification - Subdivision 3,,,2024-07-28T12:50:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool E (#11),STAM/SCHOON,PAULIKIENE/RAUPELYTE,2024-07-28T13:00:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#3),Italy,United States,2024-07-28T13:00:00.000+00:00,
Boxing,Men's 57kg - Preliminaries - Round of 32,,,2024-07-28T13:30:00.000+00:00,
Canoe Slalom,Women's Kayak Single Semifinal,,,2024-07-28T13:30:00.000+00:00,
Rugby Sevens,Women's Pool B (#W01),Ireland,Great Britain,2024-07-28T13:30:00.000+00:00,
Boxing,Men's 71kg - Preliminaries - Round of 32,,,2024-07-28T13:46:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool A (#1),ANA PATRICIA/DUDA,MARWA/D. ELGHOBASHY,2024-07-28T14:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#10),Denmark,Norway,2024-07-28T14:00:00.000+00:00,
Rugby Sevens,Women's Pool B (#W02),Australia,South Africa,2024-07-28T14:00:00.000+00:00,
Rugby Sevens,Women's Pool C (#W03),United States,Japan,2024-07-28T14:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#4),Croatia,Montenegro,2024-07-28T14:35:00.000+00:00,
Archery,Women's Team Bronze Medal Match (#15),,,2024-07-28T14:48:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool E (#5),PERUSIC/SCHWEINER,SCHACHTER/DEARING,2024-07-28T15:00:00.000+00:00,
Football,Women's Group A (#8),New Zealand,Colombia,2024-07-28T15:00:00.000+00:00,
Football,Women's Group C (#12),Brazil,Japan,2024-07-28T15:00:00.000+00:00,
Hockey,Men's Pool A (#M07),Germany,Spain,2024-07-28T15:00:00.000+00:00,
Rugby Sevens,Women's Pool C (#W04),France,Brazil,2024-07-28T15:00:00.000+00:00,
Skateboarding,Women's Street Final,,,2024-07-28T15:00:00.000+00:00,medal match
Volleyball,Men's Preliminary Round - Pool A (#5),France,Serbia,2024-07-28T15:00:00.000+00:00,
Archery,Women's Team Gold Medal Match (#16),,,2024-07-28T15:11:00.000+00:00,medal match
Basketball,Men's Group Phase - Group C (#7),Serbia,United States,2024-07-28T15:15:00.000+00:00,
Boxing,Women's 66kg - Preliminaries - Round of 32,,,2024-07-28T15:22:00.000+00:00,
Hockey,Men's Pool B (#M08),Belgium,New Zealand,2024-07-28T15:30:00.000+00:00,
Rugby Sevens,Women's Pool A (#W05),Fiji,Canada,2024-07-28T15:30:00.000+00:00,
Canoe Slalom,Women's Kayak Single Final,,,2024-07-28T15:45:00.000+00:00,medal match
Artistic Gymnastics,Women's Qualification - Subdivision 4,,,2024-07-28T16:00:00.000+00:00,
Rugby Sevens,Women's Pool A (#W06),New Zealand,China,2024-07-28T16:00:00.000+00:00,
Football,Women's Group B (#10),Australia,Zambia,2024-07-28T17:00:00.000+00:00,
Football,Women's Group C (#11),Spain,Nigeria,2024-07-28T17:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#11),Angola,Spain,2024-07-28T17:00:00.000+00:00,
Rugby Sevens,Women's Pool B (#W07),Ireland,South Africa,2024-07-28T17:00:00.000+00:00,
Rugby Sevens,Women's Pool B (#W08),Australia,Great Britain,2024-07-28T17:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#5),France,Hungary,2024-07-28T17:30:00.000+00:00,
Hockey,Men's Pool A (#M09),Netherlands,France,2024-07-28T17:45:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool E (#11),EVANDRO/ARTHUR,HORL/HORST,2024-07-28T18:00:00.000+00:00,
Boxing,Men's 71kg - Preliminaries - Round of 32,,,2024-07-28T18:00:00.000+00:00,
Rugby Sevens,Women's Pool C (#W09),United States,Brazil,2024-07-28T18:00:00.000+00:00,
Hockey,Men's Pool A (#M10),South Africa,Great Britain,2024-07-28T18:15:00.000+00:00,
Rugby Sevens,Women's Pool C (#W10),France,Japan,2024-07-28T18:30:00.000+00:00,
Swimming,Men's 400m Individual Medley Final,,,2024-07-28T18:30:00.000+00:00,medal match
Swimming,Women's 100m Butterfly Final,,,2024-07-28T18:40:00.000+00:00,medal match
Swimming,Men's 200m Freestyle Semifinals,,,2024-07-28T18:46:00.000+00:00,
Fencing,Women's Foil Individual Bronze Medal Bout,,,2024-07-28T18:50:00.000+00:00,
Basketball,Women's Group Phase - Group A (#8),Serbia,Puerto Rico,2024-07-28T19:00:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool B (#2),MOL/SORUM,M.GRIMALT/E.GRIMALT,2024-07-28T19:00:00.000+00:00,
Football,Women's Group A (#7),France,Canada,2024-07-28T19:00:00.000+00:00,
Football,Women's Group B (#9),United States,Germany,2024-07-28T19:00:00.000+00:00,
Handball,Women's Preliminary Round Group B (#12),France,Netherlands,2024-07-28T19:00:00.000+00:00,
Rugby Sevens,Women's Pool A (#W11),Fiji,China,2024-07-28T19:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool A (#6),Slovenia,Canada,2024-07-28T19:00:00.000+00:00,
Water Polo,Men's Preliminary Round - Group A (#6),Romania,Greece,2024-07-28T19:05:00.000+00:00,
Artistic Gymnastics,Women's Qualification - Subdivision 5,,,2024-07-28T19:10:00.000+00:00,
Swimming,Women's 100m Breaststroke Semifinals,,,2024-07-28T19:10:00.000+00:00,
Fencing,Men's Épée Individual Bronze Medal Bout,,,2024-07-28T19:20:00.000+00:00,
Rugby Sevens,Women's Pool A (#W12),New Zealand,Canada,2024-07-28T19:30:00.000+00:00,
Swimming,Men's 100m Backstroke Semifinals,,,2024-07-28T19:32:00.000+00:00,
Swimming,Men's 100m Breaststroke Final,,,2024-07-28T19:44:00.000+00:00,medal match
Fencing,Women's Foil Individual Gold Medal Bout,,,2024-07-28T19:45:00.000+00:00,medal match
Swimming,Women's 200m Freestyle Semifinals,,,2024-07-28T19:50:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool C (#3),HUGHES/CHENG,HERMANNOVA/STOCHLOVA,2024-07-28T20:00:00.000+00:00,
Fencing,Men's Épée Individual Gold Medal Bout,,,2024-07-28T20:15:00.000+00:00,medal match
